stock_code,is_success
002137.XSHE,False
002138.XSHE,False
002139.XSHE,False
002140.XSHE,False
002141.XSHE,False
002142.XSHE,False
002143.XSHE,False
002144.XSHE,False
002145.XSHE,False
002146.XSHE,False
002147.XSHE,False
002148.XSHE,False
002149.XSHE,False
002150.XSHE,False
002151.XSHE,False
002152.XSHE,False
002153.XSHE,False
002154.XSHE,False
002155.XSHE,False
002156.XSHE,False
002157.XSHE,False
002158.XSHE,False
002159.XSHE,False
002160.XSHE,False
002161.XSHE,False
002162.XSHE,False
002163.XSHE,False
002164.XSHE,False
002165.XSHE,False
002166.XSHE,False
002167.XSHE,False
002168.XSHE,False
002169.XSHE,False
002170.XSHE,False
002171.XSHE,False
002172.XSHE,False
002173.XSHE,False
002174.XSHE,False
002175.XSHE,False
002176.XSHE,False
002177.XSHE,False
002178.XSHE,False
002179.XSHE,False
002180.XSHE,False
002181.XSHE,False
002182.XSHE,False
002183.XSHE,False
002184.XSHE,False
002185.XSHE,False
002186.XSHE,False
002187.XSHE,False
002188.XSHE,False
002189.XSHE,False
002190.XSHE,False
002191.XSHE,False
002192.XSHE,False
002193.XSHE,False
002194.XSHE,False
002195.XSHE,False
002196.XSHE,False
002197.XSHE,False
002198.XSHE,False
002199.XSHE,False
002200.XSHE,False
002201.XSHE,False
002202.XSHE,False
002203.XSHE,False
002204.XSHE,False
002205.XSHE,False
002206.XSHE,False
002207.XSHE,False
002208.XSHE,False
002209.XSHE,False
002210.XSHE,False
002211.XSHE,False
002212.XSHE,False
002213.XSHE,False
002214.XSHE,False
002215.XSHE,False
002216.XSHE,False
002217.XSHE,False
002218.XSHE,False
002219.XSHE,False
002220.XSHE,False
002221.XSHE,False
002222.XSHE,False
002223.XSHE,False
002224.XSHE,False
002225.XSHE,False
002226.XSHE,False
002227.XSHE,False
002228.XSHE,False
002229.XSHE,False
002230.XSHE,False
002231.XSHE,False
002232.XSHE,False
002233.XSHE,False
002234.XSHE,False
002235.XSHE,False
002236.XSHE,False
002237.XSHE,False
002238.XSHE,False
002239.XSHE,False
002240.XSHE,False
002241.XSHE,False
002242.XSHE,False
002243.XSHE,False
002244.XSHE,False
002245.XSHE,False
002246.XSHE,False
002247.XSHE,False
002248.XSHE,False
002249.XSHE,False
002250.XSHE,False
002251.XSHE,False
002252.XSHE,False
002253.XSHE,False
002254.XSHE,False
002255.XSHE,False
002256.XSHE,False
002258.XSHE,False
002259.XSHE,False
002260.XSHE,False
002261.XSHE,False
002262.XSHE,False
002263.XSHE,False
002264.XSHE,False
002265.XSHE,False
002266.XSHE,False
002267.XSHE,False
002268.XSHE,False
002269.XSHE,False
002270.XSHE,False
002271.XSHE,False
002272.XSHE,False
002273.XSHE,False
002274.XSHE,False
002275.XSHE,False
002276.XSHE,False
002277.XSHE,False
002278.XSHE,False
002279.XSHE,False
002280.XSHE,False
002281.XSHE,False
002282.XSHE,False
002283.XSHE,False
002284.XSHE,False
002285.XSHE,False
002286.XSHE,False
002287.XSHE,False
002288.XSHE,False
002289.XSHE,False
002290.XSHE,False
002291.XSHE,False
